#Ignore first line. Each line has frame idx with variable number of Object IDS.
2	1
17	2
26	3
33	4
52	5
53	5
54	5
69	6
70	6
109	7
126	8
127	8
128	8
129	8
148	9
190	10
191	10
229	11
230	11
302	12
303	12
311	13
312	13
313	13
314	13
315	13
316	13
318	13
334	14
335	14
336	14
337	14
338	14
339	14
340	14
341	14  15
342	15
343	15
347	15  16
348	15  16
349	16
378	17
381	18
475	19
476	19
477	19
485	19  20
486	20
487	20
488	20
489	20
490	20
491	20
492	20
493	20
494	20
495	20  21
496	20  21
497	20  21
498	21
499	21
500	21
501	21
502	21
503	21
504	21
505	21
506	21
510	22
521	23
523	23
524	23
525	23
598	24
599	24
670	25
716	26
717	26
718	26
753	27
754	27  28
755	27  28
756	28
757	28
758	28
759	28
760	28
777	29
778	29
779	29
780	29
781	29
782	29  30
783	29  30
784	29  30
785	28  30
788	30
789	31
790 31	
