ObjId   Start   End
1   1   24
2   160 187
3   254 287
4   321 342
5   515 576
6   660 708
7   1065    1093
8   1258    1287
9   1468    1488
10  1875    1888
11  1895    1932
12  2267    2308
13  2977    3036
14  3102    3158
15  3116    3196
16  3339    3517
17  3396    3484
18  3434    3495
19  3750    3789
20  3789    3812
21  4746    4821
22  4837    5000
23  4939    5104
24  5033    5109
25  5180    5257
26  5312    5325
27  5907    5999
28  6499    6520
29  6656    6709
30  7147    7226
31  7525    7585
32  7539    7628
33  7762    7920
34  7821    7908
35  7844    7901
