#Ignore first line. Each line has frame idx with variable number of Object IDS.
0	1
1	1
2	1   2
3	1   2
23	3
34	4
35	4
46	5
47	5
118	6
119	6
135	7
136	7
137	7
170	8
171	8
183	9
189	9
199 10	
200 10	
201 10	
202 10	
203 10	
223	11
235	12
236	12
255	13
272	14
273	14
274	14
275	14
277	15
278	15
279	15
280	15
332	16
339	17
347	18
348	18
363	19
364	19
407	20
408	20
433	21
480	22
481	22
482	22
483	22
484	22
490	23
491	23
492	23
493	23
494	23
568	24
586	25
587	25
588	25
597	26
598	26
604 27
605	27
606	27
607	27
608	27
609	27  28
610	27  28
611	27  28
612	28
613	28
654	29
720	30
721	30
724	31
727	31
762	32
763	32
764	32
765	32
766	32
772	33
773	33
774	33
775	33
776	33
818	34
889	35
