0.000000	-0.000345
0.010019	-0.000042
0.020038	-0.000030
0.030057	-0.000024
0.040076	-0.000019
0.050095	-0.000016
0.060114	-0.000013
0.070133	-0.000010
0.080151	-0.000008
0.090170	-0.000006
0.100189	-0.000005
0.110208	-0.000003
0.120227	-0.000001
0.130246	-0.000000
0.140265	0.000000
0.150284	0.000000
0.160303	0.000000
0.170322	0.000000
0.180341	0.000000
0.190360	0.000000
0.200379	0.000000
0.210398	0.000000
0.220417	0.000000
0.230435	0.000000
0.240454	0.000002
0.250473	0.000004
0.260492	0.000007
0.270511	0.000011
0.280530	0.000014
0.290549	0.000018
0.300568	0.000022
0.310587	0.000026
0.320606	0.000030
0.330625	0.000035
0.340644	0.000040
0.350663	0.000046
0.360682	0.000052
0.370701	0.000058
0.380719	0.000065
0.390738	0.000073
0.400757	0.000083
0.410776	0.000095
0.420795	0.000109
0.430814	0.000124
0.440833	0.000140
0.450852	0.000159
0.460871	0.000179
0.470890	0.000201
0.480909	0.000225
0.490928	0.000254
0.500947	0.000295
0.510966	0.000333
0.520985	0.000377
0.531003	0.000423
0.541022	0.000473
0.551041	0.000521
0.561060	0.000584
0.571079	0.000647
0.581098	0.000717
0.591117	0.000773
0.601136	0.000825
0.611155	0.000890
0.621174	0.000971
0.631193	0.001041
0.641212	0.001115
0.651231	0.001202
0.661250	0.001296
0.671269	0.001386
0.681287	0.001495
0.691306	0.001581
0.701325	0.001679
0.711344	0.001770
0.721363	0.001866
0.731382	0.001956
0.741401	0.002051
0.751420	0.002180
0.761439	0.002293
0.771458	0.002416
0.781477	0.002541
0.791496	0.002659
0.801515	0.002781
0.811534	0.002942
0.821553	0.003125
0.831571	0.003331
0.841590	0.003524
0.851609	0.003754
0.861628	0.003987
0.871647	0.004240
0.881666	0.004557
0.891685	0.004869
0.901704	0.005210
0.911723	0.005615
0.921742	0.006045
0.931761	0.006541
0.941780	0.007236
0.951799	0.008278
0.961818	0.009347
0.971837	0.010793
0.981855	0.013099
0.991874	0.017288
1.000000	0.025782
