ObjID   Start   End
1   14  52
2   421 454
3   515 534
4   642 722
5   824 877
6   869 890
7   1278    1297
8   1419    1450
9   1581    1623
10  1683    1698
11  2403    2480
12  2768    2807
13  3565    3597
14  3591    3608
15  3763    3814
16  3763    3832
17  3986    4068
18  4064    4114
19  4384    4428
20  4531    4583
21  5135    5148
22  5342    5387
23  5387    5452
24  5470    5555
25  5576    5658
26  5982    6024
27  6330    6343
28  7174    7220
29  7935    8011
30  8187    8236
31  8203    8256
32  8419    8490
33  8488    8537
34  8791    8826
35  8941    8999
