#Ignore first line. Each line has frame idx with variable number of Object IDS.
43	1
44	1
45	1
53	2
68	3
69	3
70  3
71	3
83	4
84	4
85	4
86	4
87	4   5
128	6
143	7
144	7
159	8
245	9
246	9
247	9
277	10
357	11
379	12  
380	12  13
381	12  13
382	13
398	14
399	14
400	15
401	15
402	15
403	15
404	15
405	15
406	15
410	16
411	16
439	17
454	18
455	18
535	19
542	20
543	20
544	20
545	20
547	21
548	21
549	21
550	21
551	21
552	22
553	22
554	22
558	22
559	22
560	22
561	22
562	22
563	22
564	22
565	22
599	23
633	24
718	25
799	26
800	26
821	27
822	27  28
823	27  28
824	28
825	28
841	29
842	29
843	29
844	29
845	29
846	29
847	29
848	29
851	30
852	30
853	30
880	31
894	32
895	32
896	32
