ObjId   Start   End
1   1   31
2   129 143
3   208 213
4   287 310
5   359 404
6   567 585
7   651 670
8   1450    1463
9   1460    1481
10  1474    1514
11  1853    1890
12  2057    2072
13  2107    2124
14  2198    2221
15  2218    2264
16  2294    2297
17  2329    2371
18  3016    3036
19  3064    3078
20  3199    3248
21  3253    3291
22  3407    3473
23  3618    3632
24  3817    3829
25  4285    4323
26  4378    4417
27  4677    4691
28  5422    5434
29  5444    5456
30  5460    5480
31  6255    6294
32  6289    6325
33  6725    6775
34  6836    6884
35  6898    6971
36  6949    7002
37  7019    7032
38  7106    7144
39  7198    7238
40  7347    7383
41  7922    7938
42  8632    8644
