#Ignore first line. Each line has frame idx with variable number of Object IDS.
1	1	
2	1	
3	1	
4	1	
5	1	
6	1	
7	1	
8	1	
9	1	
10	1	
11	1	
12	1	
13	1	
14	1	
15	1	
16	1	
17	1	
18	1	
19	1	
20	1	
21	1	
22	1	
23	1	
24	1	
25	1	
26	1	
27	1	
28	1	
29	1	
30	1	
31	1	
129	2	
130	2	
131	2	
132	2	
133	2	
134	2	
135	2	
136	2	
137	2	
138	2	
139	2	
140	2	
141	2	
142	2	
143	2	
208	3	
209	3	
210	3	
211	3	
212	3	
213	3	
287	4	
288	4	
289	4	
290	4	
291	4	
292	4	
293	4	
294	4	
295	4	
296	4	
297	4	
298	4	
299	4	
300	4	
301	4	
302	4	
303	4	
304	4	
305	4	
306	4	
307	4	
308	4	
309	4	
310	4	
359	5	
360	5	
361	5	
362	5	
363	5	
364	5	
365	5	
366	5	
367	5	
368	5	
369	5	
370	5	
371	5	
372	5	
373	5	
374	5	
375	5	
376	5	
377	5	
378	5	
379	5	
380	5	
381	5	
382	5	
383	5	
384	5	
385	5	
386	5	
387	5	
388	5	
389	5	
390	5	
391	5	
392	5	
393	5	
394	5	
395	5	
396	5	
397	5	
398	5	
399	5	
400	5	
401	5	
402	5	
403	5	
404	5	
567	6	
568	6	
569	6	
570	6	
571	6	
572	6	
573	6	
574	6	
575	6	
576	6	
577	6	
578	6	
579	6	
580	6	
581	6	
582	6	
583	6	
584	6	
585	6	
651	7	
652	7	
653	7	
654	7	
655	7	
656	7	
657	7	
658	7	
659	7	
660	7	
661	7	
662	7	
663	7	
664	7	
665	7	
666	7	
667	7	
668	7	
669	7	
670	7	
1450	8	
1451	8	
1452	8	
1453	8	
1454	8	
1455	8	
1456	8	
1457	8	
1458	8	
1459	8	
1460	8	9	
1461	8	9	
1462	8	9	
1463	8	9	
1464	9	
1465	9	
1466	9	
1467	9	
1468	9	
1469	9	
1470	9	
1471	9	
1472	9	
1473	9	
1474	9	10	
1475	9	10	
1476	9	10	
1477	9	10	
1478	9	10	
1479	9	10	
1480	9	10	
1481	9	10	
1482	10	
1483	10	
1484	10	
1485	10	
1486	10	
1487	10	
1488	10	
1489	10	
1490	10	
1491	10	
1492	10	
1493	10	
1494	10	
1495	10	
1496	10	
1497	10	
1498	10	
1499	10	
1500	10	
1501	10	
1502	10	
1503	10	
1504	10	
1505	10	
1506	10	
1507	10	
1508	10	
1509	10	
1510	10	
1511	10	
1512	10	
1513	10	
1514	10	
1853	11	
1854	11	
1855	11	
1856	11	
1857	11	
1858	11	
1859	11	
1860	11	
1861	11	
1862	11	
1863	11	
1864	11	
1865	11	
1866	11	
1867	11	
1868	11	
1869	11	
1870	11	
1871	11	
1872	11	
1873	11	
1874	11	
1875	11	
1876	11	
1877	11	
1878	11	
1879	11	
1880	11	
1881	11	
1882	11	
1883	11	
1884	11	
1885	11	
1886	11	
1887	11	
1888	11	
1889	11	
1890	11	
2057	12	
2058	12	
2059	12	
2060	12	
2061	12	
2062	12	
2063	12	
2064	12	
2065	12	
2066	12	
2067	12	
2068	12	
2069	12	
2070	12	
2071	12	
2072	12	
2107	13	
2108	13	
2109	13	
2110	13	
2111	13	
2112	13	
2113	13	
2114	13	
2115	13	
2116	13	
2117	13	
2118	13	
2119	13	
2120	13	
2121	13	
2122	13	
2123	13	
2124	13	
2198	14	
2199	14	
2200	14	
2201	14	
2202	14	
2203	14	
2204	14	
2205	14	
2206	14	
2207	14	
2208	14	
2209	14	
2210	14	
2211	14	
2212	14	
2213	14	
2214	14	
2215	14	
2216	14	
2217	14	
2218	14	15	
2219	14	15	
2220	14	15	
2221	14	15	
2222	15	
2223	15	
2224	15	
2225	15	
2226	15	
2227	15	
2228	15	
2229	15	
2230	15	
2231	15	
2232	15	
2233	15	
2234	15	
2235	15	
2236	15	
2237	15	
2238	15	
2239	15	
2240	15	
2241	15	
2242	15	
2243	15	
2244	15	
2245	15	
2246	15	
2247	15	
2248	15	
2249	15	
2250	15	
2251	15	
2252	15	
2253	15	
2254	15	
2255	15	
2256	15	
2257	15	
2258	15	
2259	15	
2260	15	
2261	15	
2262	15	
2263	15	
2264	15	
2294	16	
2295	16	
2296	16	
2297	16	
2329	17	
2330	17	
2331	17	
2332	17	
2333	17	
2334	17	
2335	17	
2336	17	
2337	17	
2338	17	
2339	17	
2340	17	
2341	17	
2342	17	
2343	17	
2344	17	
2345	17	
2346	17	
2347	17	
2348	17	
2349	17	
2350	17	
2351	17	
2352	17	
2353	17	
2354	17	
2355	17	
2356	17	
2357	17	
2358	17	
2359	17	
2360	17	
2361	17	
2362	17	
2363	17	
2364	17	
2365	17	
2366	17	
2367	17	
2368	17	
2369	17	
2370	17	
2371	17	
3016	18	
3017	18	
3018	18	
3019	18	
3020	18	
3021	18	
3022	18	
